titulo,descricao,avaliacao,preco_noite
Apartamento em Rio de Janeiro,Praia e cidade com conforto,"4,83 48 avaliações",R$1.233
Loft em Copacabana,Moderno Loft Copacabana,"4,98 235 avaliações",R$1.769
Apartamento em Copacabana,Apartamento em Copacabana,"4,87 180 avaliações",R$1.142
Apartamento em Rio de Janeiro,LINDO STUDIO COPACABANA - Próximo a Praia,"4,96 219 avaliações",R$1.438
Apartamento em Copacabana,Luxurius domingos ferreira 219 Copacabana,"4,91 139 avaliações",R$1.804
Apartamento em Rio de Janeiro,"Apto 4 quartos, 2 banheiros. 2 quadras da praia","5,0 41 avaliações",R$2.112
Apartamento em Rio de Janeiro,Copacabana 836 Studio Novo a 2 quadras da praia,"4,84 31 avaliações",R$1.575
Apartamento em Rio de Janeiro,Refúgio Radiante em Copa-Posto 4,"5,0 9 avaliações",R$1.427
Apartamento em Rio de Janeiro,Lindo conjugado super bem localizado em Copacabana,"4,85 87 avaliações",R$1.313
Apartamento em Rio de Janeiro,APTO DO MAR - Copacabana,"4,77 39 avaliações",R$1.201
Apartamento em Rio de Janeiro,Apartamento na quadra da praia,"4,87 145 avaliações",R$1.417
Apartamento em Rio de Janeiro,Apartamento Copacabana Posto 3,"4,91 80 avaliações",R$1.438
Apartamento em Rio de Janeiro,2quadras da *PRAIA de Copacabana* Imperdível!,"4,95 99 avaliações",R$1.406
Apartamento em Rio de Janeiro,Mini studio a 50m da Praia de Copacabana,"4,72 81 avaliações",R$1.427
Apartamento em Copacabana,Vivenda de Copacabana-Praia a uma quadra,"4,88 167 avaliações",R$1.770
Apartamento em Copacabana,Studio Bauhaus  (50 metros da praia),"4,97 229 avaliações",R$2.134
Apartamento em Rio de Janeiro,Em em Copacabana sazonal,"5,0 3 avaliações",R$1.617
Loft em Rio de Janeiro,Cozy Loft Copacabana,"4,98 125 avaliações",R$1.849
